city,n_gang_polygons,n_gang_points,area_pct_A,area_pct_B,area_pct_C,area_pct_D,area_pct_outside,area_in_pct_A,area_in_pct_B,area_in_pct_C,area_in_pct_D,point_pct_A,point_pct_B,point_pct_C,point_pct_D,point_pct_outside,point_in_pct_A,point_in_pct_B,point_in_pct_C,point_in_pct_D,baseline_pct_A,baseline_pct_B,baseline_pct_C,baseline_pct_D,D_disproportionality
Los Angeles,1098,428,0.2,3.5,19.3,10.5,66.5,0.7,10.4,57.7,31.3,0.2,2.8,22.7,16.6,57.7,0.6,6.6,53.6,39.2,12.3,19.6,46.1,22.0,1.42
Chicago,0,245,,,,,,,,,,0.0,2.4,46.5,39.2,11.8,0.0,2.8,52.8,44.4,4.4,17.0,51.5,27.1,1.64
Detroit,616,489,2.2,9.5,24.5,16.3,47.6,4.2,18.0,46.7,31.1,3.3,9.2,22.3,19.2,46.0,6.1,17.0,41.3,35.6,6.3,14.1,51.1,28.4,1.09
Philadelphia,946,267,2.0,21.0,20.8,31.0,25.1,2.7,28.1,27.8,41.4,0.4,8.6,19.9,62.9,8.2,0.4,9.4,21.6,68.6,14.7,38.4,19.9,27.0,1.53
Cleveland,252,43,0.6,10.5,35.6,28.3,25.1,0.8,14.0,47.5,37.8,0.0,2.3,23.3,41.9,32.6,0.0,3.4,34.5,62.1,11.4,22.8,47.4,18.4,2.06
St. Louis,744,170,0.5,5.9,6.8,4.2,82.6,2.9,34.1,38.9,24.2,0.6,19.4,23.5,13.5,42.9,1.0,34.0,41.2,23.7,14.8,37.7,31.7,15.8,1.53
Baltimore,178,1,1.4,20.8,21.2,14.8,41.8,2.5,35.7,36.4,25.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,8.1,45.8,31.5,14.6,1.74
Pittsburgh,76,8,0.0,7.6,44.4,32.8,15.1,0.0,9.0,52.3,38.7,0.0,0.0,25.0,0.0,75.0,0.0,0.0,100.0,0.0,6.3,31.5,35.5,26.6,1.45
San Francisco,118,0,0.0,0.0,1.8,10.4,87.8,0.0,0.0,15.0,85.0,,,,,,,,,,7.5,30.2,31.6,30.6,2.78
New Orleans,42,0,0.0,0.1,2.8,3.8,93.3,0.0,1.1,42.1,56.8,,,,,,,,,,5.3,9.5,40.1,45.1,1.26
Atlanta,328,409,2.1,2.5,6.6,4.9,83.8,13.1,15.6,40.7,30.5,0.2,0.2,2.9,7.6,89.0,2.2,2.2,26.7,68.9,10.8,17.1,43.2,28.9,1.06
New York City,114,0,0.0,6.5,49.0,26.9,17.6,0.0,7.8,59.5,32.7,,,,,,,,,,2.5,16.0,51.8,29.7,1.1
